.text section layout
  Starting        Virtual
  address  Size   address
  -----------------------
  00000000 000efc 800056e0  1 .text 	m_Do_main.o 
  00066570 00016c 8006bc50  4 dDoor_info_c::checkArea(f32, f32, f32) 	d_door.o 
  000666dc 0000d8 8006bdbc  4 dDoor_info_c::openInitCom(i32) 	d_door.o 
  000667b4 0000e0 8006be94  4 dDoor_info_c::openProcCom() 	d_door.o 
  00066894 000130 8006bf74  4 dDoor_info_c::closeEndCom() 	d_door.o 
  000669c4 000048 8006c0a4  4 dDoor_info_c::getDemoAction() 	d_door.o 
  00066a0c 0000ec 8006c0ec  4 dDoor_info_c::setGoal() 	d_door.o 
  00066af8 000028 8006c1d8  4 dDoor_info_c::setPlayerAngle(i32) 	d_door.o 
  00066b20 0000bc 8006c200  4 dDoor_info_c::setPosAndAngle(cXyz*, i16) 	d_door.o 
  00066bdc 0000cc 8006c2bc  4 dDoor_smoke_c::smokeInit(dDoor_info_c*) 	d_door.o 
  00066ca8 000094 8006c388  4 dDoor_smoke_c::smokeProc(dDoor_info_c*) 	d_door.o 
  00066d3c 00002c 8006c41c  4 dDoor_smoke_c::smokeEnd() 	d_door.o 
  00066d68 000030 8006c448  4 dDoor_key2_c::keyResLoad() 	d_door.o 
  00066d98 000030 8006c478  4 dDoor_key2_c::keyResDelete() 	d_door.o 
  00066dc8 000140 8006c4a8  4 dDoor_key2_c::keyInit(dDoor_info_c*) 	d_door.o 
  00066f08 000068 8006c5e8  4 dDoor_key2_c::keyProc() 	d_door.o 
  00066f70 000114 8006c650  4 dDoor_key2_c::keyCreate_Nkey() 	d_door.o 
  00067084 0001ac 8006c764  4 dDoor_key2_c::keyCreate_Bkey() 	d_door.o 
  00067230 000038 8006c910  4 dDoor_key2_c::keyCreate(i32) 	d_door.o 
  00067268 00000c 8006c948  4 dDoor_key2_c::keyOn() 	d_door.o 
  00067274 00000c 8006c954  4 dDoor_key2_c::keyOff() 	d_door.o 
  00067280 0000b0 8006c960  4 dDoor_key2_c::calcMtx(dDoor_info_c*) 	d_door.o 
  00067330 000068 8006ca10  4 dDoor_key2_c::draw(dDoor_info_c*) 	d_door.o 
  00067398 0000b0 8006ca78  4 dDoor_stop_c::calcMtx(dDoor_info_c*) 	d_door.o 
  00067448 0000d4 8006cb28  4 dDoor_stop_c::closeInit(dDoor_info_c*) 	d_door.o 
  0006751c 000084 8006cbfc  4 dDoor_stop_c::closeProc(dDoor_info_c*) 	d_door.o 
  000675a0 0000d0 8006cc80  4 dDoor_stop_c::openInit(dDoor_info_c*) 	d_door.o 
  00067670 000088 8006cd50  4 dDoor_stop_c::openProc(dDoor_info_c*) 	d_door.o 
  000676f8 0000b4 8006cdd8  4 dDoor_stop_c::create() 	d_door.o 
  000677ac 00001c 8006ce8c  4 dDoor_msg_c::init(i16) 	d_door.o 
  000677c8 000234 8006cea8  4 dDoor_msg_c::proc(cXyz*) 	d_door.o 
  000679fc 000040 8006d0dc  4 dDoor_hkyo_c::resLoad() 	d_door.o 
  00067a3c 000038 8006d11c  4 dDoor_hkyo_c::resDelete() 	d_door.o 
  00067a74 000180 8006d154  4 dDoor_hkyo_c::create() 	d_door.o 
  00067bf4 0000d4 8006d2d4  4 dDoor_hkyo_c::setAnm(u8) 	d_door.o 
  00067cc8 00000c 8006d3a8  4 dDoor_hkyo_c::init() 	d_door.o 
  00067cd4 0000b0 8006d3b4  4 dDoor_hkyo_c::calcMtx(dDoor_info_c*, f32) 	d_door.o 
  00067d84 00009c 8006d464  4 dDoor_hkyo_c::draw(dDoor_info_c*) 	d_door.o 
  00067e20 00021c 8006d500  4 dDoor_hkyo_c::proc(dDoor_info_c*) 	d_door.o 
  0006803c 000068 8006d71c  4 dDoor_hkyo_c::chkFirst() 	d_door.o 
  000680a4 000064 8006d784  4 dDoor_hkyo_c::onFirst() 	d_door.o 
  00068108 000018 8006d7e8  4 dDoor_hkyo_c::chkStart() 	d_door.o 
  00068120 000004 8006d800  1 .text 	d_door.o 
  00068120 000004 8006d800  4 daPy_py_c::setPlayerPosAndAngle(cXyz*, i16) 	d_door.o 
  00068124 001ee4 8006d804  1 .text 	d_resorce.o 
  00068124 000020 8006d804  4 dRes_info_c() 	d_resorce.o 
  00068144 0000d0 8006d824  4 ~dRes_info_c() 	d_resorce.o 
  00068214 00009c 8006d8f4  4 dRes_info_c::set(i8 const*, i8 const*, u8, JKRHeap*) 	d_resorce.o 
  000682b0 00035c 8006d990  4 setToonTex(J3DModelData*) 	d_resorce.o 
  0006860c 0002e8 8006dcec  4 setToonTex(J3DMaterialTable*) 	d_resorce.o 
  000688f4 0007d0 8006dfd4  4 dRes_info_c::loadResource() 	d_resorce.o 
  000690c4 000048 8006e7a4  4 ~JKRFileFinder() 	d_resorce.o 
  0006910c 00006c 8006e7ec  4 ~J3DAnmTransformKey() 	d_resorce.o 
  00069178 00005c 8006e858  4 ~J3DAnmTransform() 	d_resorce.o 
  000691d4 000048 8006e8b4  4 ~J3DAnmBase() 	d_resorce.o 
  0006921c 0002d4 8006e8fc  4 dRes_info_c::setRes() 	d_resorce.o 
  000694f0 000028 8006ebd0  4 getArcHeader(JKRArchive*) 	d_resorce.o 
  00069518 0000fc 8006ebf8  4 dRes_info_c::dump_long(dRes_info_c*, i32) 	d_resorce.o 
  00069614 000178 8006ecf4  4 dRes_info_c::dump(dRes_info_c*, i32) 	d_resorce.o 
  0006978c 0000c8 8006ee6c  4 ~dRes_control_c() 	d_resorce.o 
  00069854 0000e8 8006ef34  4 dRes_control_c::setRes(i8 const*, dRes_info_c*, i32, i8 const*, u8, JKRHeap*) 	d_resorce.o 
  0006993c 000058 8006f01c  4 dRes_control_c::syncRes(i8 const*, dRes_info_c*, i32) 	d_resorce.o 
  00069994 000074 8006f074  4 dRes_control_c::deleteRes(i8 const*, dRes_info_c*, i32) 	d_resorce.o 
  00069a08 00007c 8006f0e8  4 dRes_control_c::getResInfo(i8 const*, dRes_info_c*, i32) 	d_resorce.o 
  00069a84 000028 8006f164  4 dRes_control_c::newResInfo(dRes_info_c*, i32) 	d_resorce.o 
  00069aac 00007c 8006f18c  4 dRes_control_c::getResInfoLoaded(i8 const*, dRes_info_c*, i32) 	d_resorce.o 
  00069b28 000090 8006f208  4 dRes_control_c::getRes(i8 const*, i32, dRes_info_c*, i32) 	d_resorce.o 
  00069bb8 0000b4 8006f298  4 dRes_control_c::getRes(i8 const*, i8 const*, dRes_info_c*, i32) 	d_resorce.o 
  00069c6c 000070 8006f34c  4 dRes_control_c::getIDRes(i8 const*, u16, dRes_info_c*, i32) 	d_resorce.o 
  00069cdc 000074 8006f3bc  4 dRes_control_c::syncAllRes(dRes_info_c*, i32) 	d_resorce.o 
  00069d50 0000d0 8006f430  4 dRes_control_c::setStageRes(i8 const*, JKRHeap*) 	d_resorce.o 
  00069e20 000080 8006f500  4 dRes_control_c::dump() 	d_resorce.o 
  00069ea0 00007c 8006f580  4 ~mDoExt_transAnmBas() 	d_resorce.o 
  00069f1c 000030 8006f5fc  4 J3DAnmTransformKey::getTransform(u16, J3DTransformInfo*) const 	d_resorce.o 
  00069f4c 0009bc 8006f62c  1 .text 	d_material.o 
  00069f4c 000070 8006f62c  4 dMat_backup_c::restore() 	d_material.o 
  00069fbc 0000a4 8006f69c  4 dMat_ice_c::create(J3DMaterialTable*, J3DAnmTextureSRTKey*) 	d_material.o 
  0006a060 000040 8006f740  4 dMat_ice_c::play() 	d_material.o 
  0006a0a0 0000bc 8006f780  4 dMat_ice_c::copy(J3DModelData*) 	d_material.o 
  0006a15c 0000d0 8006f83c  4 dMat_ice_c::updateDL(J3DModel*, i8, mDoExt_invisibleModel*) 	d_material.o 
  0006a22c 0000d4 8006f90c  4 dMat_ice_c::updateDL(mDoExt_McaMorf*, i8, mDoExt_invisibleModel*) 	d_material.o 
  0006a300 0000d0 8006f9e0  4 dMat_ice_c::entryDL(J3DModel*, i8, mDoExt_invisibleModel*) 	d_material.o 
  0006a3d0 0000d4 8006fab0  4 dMat_ice_c::entryDL(mDoExt_McaMorf*, i8, mDoExt_invisibleModel*) 	d_material.o 
  0006a4a4 00016c 8006fb84  4 dMat_control_c::create(J3DMaterialTable*, J3DAnmTextureSRTKey*) 	d_material.o 
  0006a610 00005c 8006fcf0  4 ~mDoExt_btkAnm() 	d_material.o 
  0006a66c 00003c 8006fd4c  4 ~dMat_backup_c() 	d_material.o 
  0006a6a8 000010 8006fd88  4 dMat_backup_c() 	d_material.o 
  0006a6b8 000024 8006fd98  4 dMat_control_c::remove() 	d_material.o 
  0006a6dc 000038 8006fdbc  4 dMat_control_c::restore(i8) 	d_material.o 
  0006a714 000010 8006fdf4  4 __sinit_d_material_cpp 	d_material.o 
  0006a724 001a54 8006fe04  1 .text 	d_event.o 
  0006a724 000050 8006fe04  4 dEvt_control_c() 	d_event.o 
  0006a774 000004 8006fe54  4 dEvt_order_c() 	d_event.o 
  0006a778 000090 8006fe58  4 dEvt_control_c::orderOld(u16, u16, u16, u16, void*, void*, void const*) 	d_event.o 
  0006a808 000144 8006fee8  4 dEvt_control_c::order(u16, u16, u16, u16, void*, void*, i16, u8) 	d_event.o 
  0006a94c 000130 8007002c  4 dEvt_control_c::setParam(dEvt_order_c*) 	d_event.o 
  0006aa7c 000030 8007015c  4 dEvt_control_c::beforeFlagProc(dEvt_order_c*) 	d_event.o 
  0006aaac 00008c 8007018c  4 dEvt_control_c::afterFlagProc(dEvt_order_c*) 	d_event.o 
  0006ab38 000078 80070218  4 dEvt_control_c::commonCheck(dEvt_order_c*, u16, u16) 	d_event.o 
  0006abb0 000100 80070290  4 dEvt_control_c::talkCheck(dEvt_order_c*) 	d_event.o 
  0006acb0 0001cc 80070390  4 dEvt_control_c::talkXyCheck(dEvt_order_c*) 	d_event.o 
  0006ae7c 00017c 8007055c  4 dEvt_control_c::photoCheck(dEvt_order_c*) 	d_event.o 
  0006aff8 0000e8 800706d8  4 dEvt_control_c::catchCheck(dEvt_order_c*) 	d_event.o 
  0006b0e0 0000b0 800707c0  4 dEvt_control_c::talkEnd() 	d_event.o 
  0006b190 000150 80070870  4 dEvt_control_c::demoCheck(dEvt_order_c*) 	d_event.o 
  0006b2e0 0000a4 800709c0  4 dEvt_control_c::demoEnd() 	d_event.o 
  0006b384 0000c0 80070a64  4 dEvt_control_c::potentialCheck(dEvt_order_c*) 	d_event.o 
  0006b444 000130 80070b24  4 dEvt_control_c::doorCheck(dEvt_order_c*) 	d_event.o 
  0006b574 0000c8 80070c54  4 dEvt_control_c::itemCheck(dEvt_order_c*) 	d_event.o 
  0006b63c 0000b8 80070d1c  4 dEvt_control_c::endProc() 	d_event.o 
  0006b6f4 000048 80070dd4  4 dEvt_control_c::checkChange() 	d_event.o 
  0006b73c 00008c 80070e1c  4 dEvt_control_c::changeProc() 	d_event.o 
  0006b7c8 000178 80070ea8  4 dEvt_control_c::checkStart() 	d_event.o 
  0006b940 000028 80071020  4 dEvt_control_c::soundProc() 	d_event.o 
  0006b968 0000f8 80071048  4 dEvt_control_c::check() 	d_event.o 
  0006ba60 000130 80071140  4 dEvt_control_c::photoCheck() 	d_event.o 
  0006bb90 0001a8 80071270  4 dEvt_control_c::moveApproval(void*) 	d_event.o 
  0006bd38 000050 80071418  4 dEvt_control_c::compulsory(void*, i8 const*, u16) 	d_event.o 
  0006bd88 000044 80071468  4 dEvt_control_c::remove() 	d_event.o 
  0006bdcc 000088 800714ac  4 dEvt_control_c::getStageEventDt() 	d_event.o 
  0006be54 000084 80071534  4 dEvt_control_c::nextStageEventDt(void*) 	d_event.o 
  0006bed8 000024 800715b8  4 dEvt_control_c::getPId(void*) 	d_event.o 
  0006befc 000030 800715dc  4 dEvt_control_c::convPId(u32) 	d_event.o 
  0006bf2c 00000c 8007160c  4 dEvt_control_c::getTactFreeMStick(i32) 	d_event.o 
  0006bf38 00000c 80071618  4 dEvt_control_c::getTactFreeCStick(i32) 	d_event.o 
  0006bf44 000034 80071624  4 dEvt_info_c() 	d_event.o 
  0006bf78 000054 80071658  4 dEvt_info_c::setEventName(i8*) 	d_event.o 
  0006bfcc 00004c 800716ac  4 dEvt_info_c::getEventName() 	d_event.o 
  0006c018 000080 800716f8  4 dEvt_control_c::giveItemCut(u8) 	d_event.o 
  0006c098 002144 80071778  1 .text 	d_event_data.o 
  0006c098 0001e4 80071778  4 dEvDt_Next_Stage(i32, i32) 	d_event_data.o 
  0006c27c 000068 8007195c  4 dEvDtFlag_c::flagCheck(i32) 	d_event_data.o 
  0006c2e4 000068 800719c4  4 dEvDtFlag_c::flagSet(i32) 	d_event_data.o 
  0006c34c 00007c 80071a2c  4 dEvDtFlag_c::flagMaxCheck(i32) 	d_event_data.o 
  0006c3c8 000020 80071aa8  4 dEvDtFlag_c::init() 	d_event_data.o 
  0006c3e8 000084 80071ac8  4 dEvDtEvent_c::finish_check() 	d_event_data.o 
  0006c46c 000068 80071b4c  4 dEvDtEvent_c::specialStaffProc(dEvDtStaff_c*) 	d_event_data.o 
  0006c4d4 000064 80071bb4  4 dEvDtStaff_c::specialProc_WaitStart(i32) 	d_event_data.o 
  0006c538 000044 80071c18  4 dEvDtStaff_c::specialProc_WaitProc(i32) 	d_event_data.o 
  0006c57c 0000ac 80071c5c  4 dEvDtStaff_c::specialProc() 	d_event_data.o 
  0006c628 000050 80071d08  4 dEvDtStaff_c::init() 	d_event_data.o 
  0006c678 000030 80071d58  4 dEvDtStaff_c::advanceCut(i32) 	d_event_data.o 
  0006c6a8 0001d0 80071d88  4 dEvDtStaff_c::specialProcLight() 	d_event_data.o 
  0006c878 000500 80071f58  4 dEvDtStaff_c::specialProcMessage() 	d_event_data.o 
  0006cd78 0002f0 80072458  4 dEvDtStaff_c::specialProcSound() 	d_event_data.o 
  0006d068 0002e0 80072748  4 dEvDtStaff_c::specialProcCreate() 	d_event_data.o 
  0006d348 00063c 80072a28  4 dEvDtStaff_c::specialProcDirector() 	d_event_data.o 
  0006d984 000368 80073064  4 dEvDtStaff_c::specialProcPackage() 	d_event_data.o 
  0006dcec 0001f0 800733cc  4 dEvDtStaff_c::specialProcTimekeeper() 	d_event_data.o 
  0006dedc 000090 800735bc  4 dEvDtCut_c::startCheck() 	d_event_data.o 
  0006df6c 000028 8007364c  4 dEvDtBase_c::init() 	d_event_data.o 
  0006df94 000070 80073674  4 dEvDtBase_c::advanceCut(dEvDtEvent_c*) 	d_event_data.o 
  0006e004 0000f8 800736e4  4 dEvDtBase_c::advanceCutLocal(dEvDtStaff_c*) 	d_event_data.o 
  0006e0fc 001f54 800737dc  1 .text 	d_event_manager.o 
  0006e0fc 000018 800737dc  4 dEvent_exception_c::init() 	d_event_manager.o 
  0006e114 00010c 800737f4  4 dEvent_exception_c::setStartDemo(i32) 	d_event_manager.o 
  0006e220 000148 80073900  4 dEvent_exception_c::getEventName() 	d_event_manager.o 
  0006e368 000004 80073a48  4 dEvent_manager_c::debugBfProc() 	d_event_manager.o 
  0006e36c 000174 80073a4c  4 dEvent_manager_c::getSubstance(dEvDtData_c*, i32) 	d_event_manager.o 
  0006e4e0 0000d4 80073bc0  4 dEvent_manager_c::setData(i8 const*) 	d_event_manager.o 
  0006e5b4 00007c 80073c94  4 dEvent_manager_c::create() 	d_event_manager.o 
  0006e630 000044 80073d10  4 dEvent_manager_c::remove() 	d_event_manager.o 
  0006e674 0000ac 80073d54  4 findObjectCallBack(fopAc_ac_c*, void*) 	d_event_manager.o 
  0006e720 000114 80073e00  4 extraOnObjectCallBack(fopAc_ac_c*, void*) 	d_event_manager.o 
  0006e834 0000c0 80073f14  4 extraOffObjectCallBack(fopAc_ac_c*, void*) 	d_event_manager.o 
  0006e8f4 00001c 80073fd4  4 allOffObjectCallBack(fopAc_ac_c*, void*) 	d_event_manager.o 
  0006e910 000118 80073ff0  4 dEvent_manager_c::startProc(dEvDtEvent_c*) 	d_event_manager.o 
  0006ea28 00000c 80074108  4 dEvent_manager_c::closeProc(dEvDtEvent_c*) 	d_event_manager.o 
  0006ea34 0000c0 80074114  4 dEvent_manager_c::endProc(i16, i32) 	d_event_manager.o 
  0006eaf4 000150 800741d4  4 dEvent_manager_c::mainProc() 	d_event_manager.o 
  0006ec44 00004c 80074324  4 dEvent_manager_c::runProc() 	d_event_manager.o 
  0006ec90 00003c 80074370  4 dEvent_manager_c::getEventData(i16) 	d_event_manager.o 
  0006eccc 000100 800743ac  4 dEvent_manager_c::getEventIdx(i8 const*, u8) 	d_event_manager.o 
  0006edcc 00003c 800744ac  4 dEvent_manager_c::order(i16) 	d_event_manager.o 
  0006ee08 000040 800744e8  4 dEvent_manager_c::startCheck(i16) 	d_event_manager.o 
  0006ee48 00003c 80074528  4 dEvent_manager_c::startCheckOld(i8 const*) 	d_event_manager.o 
  0006ee84 000040 80074564  4 dEvent_manager_c::endCheck(i16) 	d_event_manager.o 
  0006eec4 00003c 800745a4  4 dEvent_manager_c::endCheckOld(i8 const*) 	d_event_manager.o 
  0006ef00 000138 800745e0  4 dEvent_manager_c::getMyStaffId(i8 const*, fopAc_ac_c*, i32) 	d_event_manager.o 
  0006f038 000024 80074718  4 dEvent_manager_c::getIsAddvance(i32) 	d_event_manager.o 
  0006f05c 0000e8 8007473c  4 dEvmng_strcmp(i8 const*, i8*) 	d_event_manager.o 
  0006f144 000140 80074824  4 dEvent_manager_c::getMyActIdx(i32, i8 const* const*, i32, i32, i32) 	d_event_manager.o 
  0006f284 00003c 80074964  4 dEvent_manager_c::getMyActName(i32) 	d_event_manager.o 
  0006f2c0 000030 800749a0  4 dEvent_manager_c::getMyNowCutName(i32) 	d_event_manager.o 
  0006f2f0 0000d0 800749d0  4 dEvent_manager_c::getMyDataP(i32, i8 const*, i32) 	d_event_manager.o 
  0006f3c0 000058 80074aa0  4 dEvent_manager_c::getMySubstanceP(i32, i8 const*, i32) 	d_event_manager.o 
  0006f418 000038 80074af8  4 dEvent_manager_c::getMySubstanceNum(i32, i8 const*) 	d_event_manager.o 
  0006f450 00004c 80074b30  4 dEvent_manager_c::cutEnd(i32) 	d_event_manager.o 
  0006f49c 000034 80074b7c  4 dEvent_manager_c::getEventPrio(i16) 	d_event_manager.o 
  0006f4d0 000034 80074bb0  4 dEvent_manager_c::getEventEndSound(i16) 	d_event_manager.o 
  0006f504 000194 80074be4  4 dEvent_manager_c::exceptionProc() 	d_event_manager.o 
  0006f698 00003c 80074d78  4 dEvent_manager_c::issueStaff(i8 const*) 	d_event_manager.o 
  0006f6d4 000028 80074db4  4 dEvent_manager_c::cancelStaff(i8 const*) 	d_event_manager.o 
  0006f6fc 00001c 80074ddc  4 dEvent_manager_c::setGoal(cXyz*) 	d_event_manager.o 
  0006f718 000008 80074df8  4 dEvent_manager_c::getGoal() 	d_event_manager.o 
  0006f720 0000b4 80074e00  4 findShutterCallBack(fopAc_ac_c*, void*) 	d_event_manager.o 
  0006f7d4 000134 80074eb4  4 dEvent_manager_c::specialCast_Shutter(i16, i32) 	d_event_manager.o 
  0006f908 000114 80074fe8  4 dEvent_manager_c::specialCast(i8 const*, i32) 	d_event_manager.o 
  0006fa1c 00018c 800750fc  4 dEvent_manager_c::setPrmStaff(void*, i32) 	d_event_manager.o 
  0006fba8 0000f4 80075288  4 dEvent_manager_c::getToolId(u8, i32) 	d_event_manager.o 
  0006fc9c 000018 8007537c  4 dEv_seach_prm(i8 const*, u32, u32) 	d_event_manager.o 
  0006fcb4 000014 80075394  4 dEv_extra_createCB(void*) 	d_event_manager.o 
  0006fcc8 0000a8 800753a8  4 dEv_talkman_get_action(i32) 	d_event_manager.o 
  0006fd70 00003c 80075450  4 dEvent_manager_c::ChkPresentEnd() 	d_event_manager.o 
  0006fdac 000030 8007548c  4 dEvent_manager_c::CancelPresent() 	d_event_manager.o 
  0006fddc 000030 800754bc  4 dEvent_manager_c::checkStartDemo() 	d_event_manager.o 
  0006fe0c 0000a4 800754ec  4 dEvmng_daNpc_Tt_Conv(u8) 	d_event_manager.o 
  0006feb0 000014 80075590  4 dEvmng_daNpc_Tt_GetEvFlag(i32) 	d_event_manager.o 
  0006fec4 0015fc 800755a4  1 .text 	d_magma.o 
  0006fec4 000114 800755a4  4 dMagma_ball_c::draw() 	d_magma.o 
  0006ffd8 00011c 800756b8  4 dMagma_ball_c::rangeCheck(cXyz&, f32*) 	d_magma.o 
  000700f4 0000a4 800757d4  4 dMagma_ballPath_c::calc(f32, u8, i32) 	d_magma.o 
  00070198 00003c 80075878  4 dMagma_ballPath_c::update() 	d_magma.o 
  000701d4 0001b8 800758b4  4 dMagma_ballPath_c::setup(f32, u8, i32) 	d_magma.o 
  0007038c 00024c 80075a6c  4 dMagma_floor_c::draw() 	d_magma.o 
  000705d8 000120 80075cb8  4 dMagma_floor_c::calc(i32) 	d_magma.o 
  000706f8 000078 80075dd8  4 dMagma_floor_c::update() 	d_magma.o 
  00070770 0001e8 80075e50  4 dMagma_floor_c::create(cXyz&, cXyz&, i16, u8, i32) 	d_magma.o 
  00070958 000048 80076038  4 ~dMagma_ball_c() 	d_magma.o 
  000709a0 000080 80076080  4 dMagma_floor_c::remove() 	d_magma.o 
  00070a20 000010 80076100  4 dMagma_room_c::newFloor(dMagma_floor_c*) 	d_magma.o 
  00070a30 000048 80076110  4 dMagma_room_c::deleteFloor() 	d_magma.o 
  00070a78 000178 80076158  4 dMagma_packet_c() 	d_magma.o 
  00070bf0 00000c 800762d0  4 dMagma_room_c() 	d_magma.o 
  00070bfc 00003c 800762dc  4 ~dMagma_floor_c() 	d_magma.o 
  00070c38 00000c 80076318  4 dMagma_floor_c() 	d_magma.o 
  00070c44 0000a8 80076324  4 ~dMagma_packet_c() 	d_magma.o 
  00070cec 000120 800763cc  4 dMagma_packet_c::draw() 	d_magma.o 
  00070e0c 000010 800764ec  4 morfCalc(f32, f32, f32) 	d_magma.o 
  00070e1c 000274 800764fc  4 dMagma_packet_c::calc() 	d_magma.o 
  00071090 000074 80076770  4 dMagma_packet_c::update() 	d_magma.o 
  00071104 000140 800767e4  4 dMagma_packet_c::checkYpos(cXyz&) 	d_magma.o 
  00071244 000180 80076924  4 dMagma_packet_c::newFloor(cXyz&, cXyz&, i32, i16) 	d_magma.o 
  000713c4 00005c 80076aa4  4 ~dMagma_ballPath_c() 	d_magma.o 
  00071420 000590 80076b00  1 .text 	d_boss_magma.o 
  00071420 0001dc 80076b00  4 dMagma_ballBoss_c::calc(f32, u8, i32) 	d_boss_magma.o 
  000715fc 000074 80076cdc  4 dMagma_ballBoss_c::update() 	d_boss_magma.o 
  00071670 00004c 80076d50  4 b_a_sub(void*, void*) 	d_boss_magma.o 
  000716bc 000250 80076d9c  4 dMagma_ballBoss_c::setup(f32, u8, i32) 	d_boss_magma.o 
  0007190c 00005c 80076fec  4 ~dMagma_ballBoss_c() 	d_boss_magma.o 
  00071968 001ce4 80077048  1 .text 	d_grass.o 
  00071968 0000e4 80077048  4 setBatta(cXyz*, _GXColor*) 	d_grass.o 
  00071a4c 000220 8007712c  4 dGrass_data_c::WorkCo(fopAc_ac_c*, u32, i32) 	d_grass.o 
  00071c6c 000298 8007734c  4 dGrass_data_c::WorkAt_NoCutAnim(fopAc_ac_c*, u32, i32, dCcMassS_HitInf*, cCcD_Obj*) 	d_grass.o 
  00071f04 000008 800775e4  4 cCcD_Obj::GetShapeAttr() 	d_grass.o 
  00071f0c 0001e0 800775ec  4 dGrass_data_c::WorkAt(fopAc_ac_c*, u32, i32, dCcMassS_HitInf*) 	d_grass.o 
  000720ec 000208 800777cc  4 dGrass_data_c::hitCheck(i32) 	d_grass.o 
  000722f4 000048 800779d4  4 ~dCcMassS_HitInf() 	d_grass.o 
  0007233c 000010 80077a1c  4 dGrass_room_c::newData(dGrass_data_c*) 	d_grass.o 
  0007234c 000064 80077a2c  4 dGrass_room_c::deleteData() 	d_grass.o 
  000723b0 000228 80077a90  4 dGrass_packet_c() 	d_grass.o 
  000725d8 00000c 80077cb8  4 dGrass_room_c() 	d_grass.o 
  000725e4 00000c 80077cc4  4 dGrass_anm_c() 	d_grass.o 
  000725f0 00000c 80077cd0  4 dGrass_data_c() 	d_grass.o 
  000725fc 00017c 80077cdc  4 dGrass_packet_c::draw() 	d_grass.o 
  00072778 0001b0 80077e58  4 dGrass_packet_c::calc() 	d_grass.o 
  00072928 0002b0 80078008  4 checkGroundY(cXyz&) 	d_grass.o 
  00072bd8 000230 800782b8  4 dGrass_packet_c::update() 	d_grass.o 
  00072e08 0000d8 800784e8  4 dGrass_packet_c::setData(dGrass_data_c*, i32, cXyz&, i32, i8) 	d_grass.o 
  00072ee0 00013c 800785c0  4 dGrass_packet_c::newData(cXyz&, i32, i8) 	d_grass.o 
  0007301c 00004c 800786fc  4 dGrass_packet_c::newAnm() 	d_grass.o 
  00073068 000028 80078748  4 dGrass_packet_c::setAnm(i32, i16) 	d_grass.o 
  00073090 00004c 80078770  4 __sinit_d_grass_cpp 	d_grass.o 
  000730dc 0023c4 800787bc  1 .text 	d_tree.o 
  000730dc 0001a4 800787bc  4 dTree_data_c::WorkCo(fopAc_ac_c*, u32, i32) 	d_tree.o 
  00073280 000360 80078960  4 dTree_data_c::WorkAt_NoCutAnim(fopAc_ac_c*, u32, i32, dCcMassS_HitInf*, cCcD_Obj*) 	d_tree.o 
  000735e0 000214 80078cc0  4 dTree_data_c::WorkAt(fopAc_ac_c*, u32, i32, dCcMassS_HitInf*) 	d_tree.o 
  000737f4 0000d4 80078ed4  4 dTree_data_c::hitCheck(fopAc_ac_c*, i32) 	d_tree.o 
  000738c8 0004b4 80078fa8  4 dTree_data_c::animation(i32) 	d_tree.o 
  00073d7c 000010 8007945c  4 dTree_room_c::newData(dTree_data_c*) 	d_tree.o 
  00073d8c 000064 8007946c  4 dTree_room_c::deleteData() 	d_tree.o 
  00073df0 000118 800794d0  4 dTree_packet_c() 	d_tree.o 
  00073f08 00000c 800795e8  4 dTree_room_c() 	d_tree.o 
  00073f14 00000c 800795f4  4 dTree_anm_c() 	d_tree.o 
  00073f20 00000c 80079600  4 dTree_data_c() 	d_tree.o 
  00073f2c 00028c 8007960c  4 dTree_packet_c::draw() 	d_tree.o 
  000741b8 00028c 80079898  4 dTree_packet_c::calc() 	d_tree.o 
  00074444 000348 80079b24  4 checkGroundY(dTree_data_c*, cXyz&) 	d_tree.o 
  0007478c 0002e0 80079e6c  4 dTree_packet_c::update() 	d_tree.o 
  00074a6c 0000ec 8007a14c  4 dTree_packet_c::setData(dTree_data_c*, i32, cXyz&, u8, i32) 	d_tree.o 
  00074b58 000134 8007a238  4 dTree_packet_c::newData(cXyz&, u8, i32) 	d_tree.o 
  00074c8c 000070 8007a36c  4 dTree_packet_c::newAnm(i16) 	d_tree.o 
  00074cfc 00004c 8007a3dc  4 dTree_packet_c::setAnm(i32, i16) 	d_tree.o 
  00074d48 000094 8007a428  4 __sinit_d_tree_cpp 	d_tree.o 
  00074ddc 00005c 8007a4bc  1 .text 	d_tree.o 
  00074ddc 00001c 8007a4bc  4 daPy_py_c::getSwordTopPos() const 	d_tree.o 
  00074df8 006348 8007a4d8  1 .text 	d_particle.o 
  00074df8 00003c 8007a4d8  4 dPa_modelEmitter_c() 	d_particle.o 
  00074e34 0002f0 8007a514  4 dPa_J3DmodelEmitter_c(JPABaseEmitter*, J3DModelData*, dKy_tevstr_c&, J3DAnmTexPattern*, u16, i32) 	d_particle.o 
  00075124 000048 8007a804  4 ~dPa_modelEmitter_c() 	d_particle.o 
  0007516c 00007c 8007a84c  4 ~dPa_J3DmodelEmitter_c() 	d_particle.o 
  000751e8 0004fc 8007a8c8  4 dPa_J3DmodelEmitter_c::draw() 	d_particle.o 
  000756e4 000108 8007adc4  4 dPa_modelControl_c(J3DModelData*) 	d_particle.o 
